entry,GY,PHT,EHT,AD
1,9.0185,252.9728594,147.4754391,58.6003
2,7.8369,253.7993241,140.2146807,58.4904
3,9.1269,246.6513833,141.4850958,59.4014
4,10.1272,257.9941656,152.9805698,61.597
5,7.7505,230.2895418,134.2097781,61.1845
6,9.2025,249.6351005,138.0064051,60.6466
7,8.5484,247.3040787,151.4286642,60.7849
8,7.7515,237.2770177,134.5528952,57.6743
9,9.6193,252.0672583,146.3309507,59.1013
10,10.8189,248.602415,147.7987057,59.5835
11,6.9872,241.7384756,128.9937288,61.1103
12,7.9416,247.173807,137.7583801,59.4763
13,9.1361,244.5358304,139.7395981,59.3819
14,10.8519,238.3231447,134.7169384,60.9595
15,4.9783,250.6310595,144.8573889,61.0163
16,8.9885,250.8963939,139.6386183,59.3118
17,11.7221,249.8203103,149.1814678,62.1501
18,10.0774,250.0992086,139.8283436,58.6911
19,8.8397,246.9965767,139.820347,58.9457
20,7.1749,246.7652989,142.6998789,61.7531
21,7.4587,252.7294044,136.0683989,58.8626
22,8.4138,256.4537337,147.0313297,60.7572
23,9.8585,241.6532096,130.9221121,60.8758
24,10.9872,240.7676651,140.9053672,60.9085
25,11.1315,253.09465,140.5917841,59.6825
26,10.369,250.4414344,140.0566913,59.3728
27,12.5729,265.3759819,145.9441221,58.8727
28,10.0352,243.8325738,135.5966682,58.7479
29,8.5246,257.5521594,141.2500404,59.0427
30,7.6337,260.8595209,151.6279581,59.9338
31,10.2208,256.4590615,145.0870854,60.2745
32,8.4301,245.2639949,142.2765809,58.4576
33,8.9038,226.3107783,123.7935395,60.3712
34,10.8192,232.3186102,126.8827003,61.3428
35,9.1271,250.4832179,135.9464357,57.3531
36,8.5786,259.5492638,148.2702072,59.5779
37,7.337,252.2511904,130.2519801,58.9039
38,11.6433,236.9516017,134.7154608,59.0277
39,5.9402,246.0813931,131.9999126,60.6327
40,9.0399,256.1626158,145.6171374,60.313
41,9.2992,244.5953568,138.9617118,60.6873
42,10.4482,241.3899948,136.8969908,58.3298
43,8.5266,235.4629764,130.9628439,59.6641
44,8.4673,248.5738763,147.5275553,60.1539
45,7.571,240.903731,138.1768784,61.1007
46,7.262,232.6400962,141.0426317,58.677
47,8.776,246.7436738,152.5359552,58.6549
48,9.2619,244.0596381,146.2477642,59.3627
49,9.3312,240.4147316,125.5776071,58.4753
50,10.2491,254.7585621,145.7148391,59.563
51,9.57,249.8127442,136.7915686,59.8857
52,6.6983,242.166005,131.5053304,60.2802
53,7.3015,227.4467058,128.5549421,61.5515
54,9.3768,250.9775885,135.1889451,59.4197
55,9.1128,256.8909248,147.1328629,60.227
56,7.0214,247.515019,130.8414942,58.9722
57,7.9235,247.1658293,134.2573212,59.0398
58,10.8177,256.92013,147.2130798,59.7665
59,8.3068,248.4504486,146.1737797,61.0938
60,7.542,261.2242731,138.1067629,61.2809
61,7.9582,253.2263332,150.7233663,57.9385
62,7.1772,249.6735117,156.1960923,57.7061
63,7.9341,233.0567835,133.6602934,58.7275
64,11.6351,251.7265535,153.0299914,60.2742
65,9.7248,254.9087338,138.8085608,60.1405
66,8.7691,228.9764596,137.0668892,61.7135
67,9.2669,255.5312724,141.5140399,61.3181
68,8.4188,245.0562743,139.9965452,59.4075
69,8.3655,253.3700559,159.6999037,58.5871
70,6.7664,229.4529594,136.3615685,58.2836
71,7.5231,240.2148654,139.2662503,59.0316
72,10.4174,249.1287266,143.1741167,61.1835
73,9.5441,248.733602,139.6164986,59.4459
74,11.0905,250.0229314,141.1692032,59.6202
75,7.7988,233.0345493,135.7666495,61.6786
76,10.159,247.6189333,145.1694415,59.2835
77,9.7754,251.0387634,146.1665229,61.0193
78,6.9615,238.1498794,128.2463026,57.3639
79,9.9313,243.0505317,145.1909735,59.8785
80,8.34,254.0851821,158.4112888,62.7682
81,8.8604,231.8771623,131.3891342,60.2459
82,6.3318,233.2905609,123.0154975,59.9582
83,7.2432,241.5716907,137.8840303,60.5895
84,9.9006,255.7448846,143.3935671,59.1498
85,8.6511,256.6266653,149.0705878,61.0268
86,6.7159,236.7302866,147.8567907,59.8337
87,9.1294,238.8148409,133.036842,60.3826
88,8.5098,240.8240002,135.0957962,60.0918
89,8.1938,240.3130672,143.5035753,58.383
90,8.7671,261.3564757,155.2638994,58.7697
91,8.1626,236.3262342,139.4499245,59.6013
92,5.5937,226.2813904,129.9492688,58.3896
93,6.8642,250.8852134,135.6954875,59.5428
94,7.2488,191.7010753,139.9658403,59.14
95,8.162,251.74184,134.7684586,60.8012
96,10.895,244.4336556,128.1197675,59.8013
97,6.3304,243.8949908,154.1599327,58.3575
98,11.6547,251.3976802,137.7594097,61.9189
99,9.9055,265.0629337,133.7260443,59.1003
100,9.8912,255.2930498,136.3934938,61.1678
101,10.9172,253.5333672,141.7884151,59.2928
102,11.6183,267.6122051,137.2067821,59.2726
103,9.85,249.0191427,134.7961549,61.0381
104,9.5051,237.3569391,139.4547074,58.473
105,10.3931,246.3130223,136.3018327,61.3155
106,10.0332,269.8202398,145.4390971,58.3623
107,10.7113,251.4393207,132.919127,58.8731
108,8.8283,241.6733389,139.0375697,58.4492
109,10.1181,249.6902218,135.3310028,58.4605
110,8.8813,237.813743,138.17469,59.7438
111,7.6228,238.3447665,133.3348511,58.3264
112,12.9113,262.2608366,136.4648516,59.0703
113,11.0079,247.9165727,146.4595022,59.5159
114,8.0463,251.0188091,145.3921216,61.8475
115,6.0086,235.9079399,136.1402409,59.8655
116,6.5966,234.6349987,148.6555559,54.5117
117,8.2698,247.8472682,138.8136211,58.6611
118,6.4872,231.5339381,131.6530861,57.4222
119,9.668,249.5688508,145.8542285,58.5203
120,7.2898,242.8279461,138.686805,59.746
121,7.8929,239.2443075,150.162077,58.7646
122,7.7639,233.5331518,132.128828,60.7298
